[ 2025-08-18 22:48:53,383 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-18 22:49:00,727 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-18 22:49:00,727 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-18 22:49:00,729 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-18 22:49:00,808 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-18 22:49:00,808 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-18 22:49:00,824 ] 27 root - INFO - Initiate the data Validation
[ 2025-08-18 22:49:00,872 ] 32 root - INFO - Required number of columns:2
[ 2025-08-18 22:49:00,886 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-18 22:49:00,886 ] 32 root - INFO - Required number of columns:2
[ 2025-08-18 22:49:00,886 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-18 22:49:01,063 ] 29 root - INFO - data Validation Completed
