[ 2025-08-18 22:42:56,391 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-18 22:43:04,535 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-18 22:43:04,535 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-18 22:43:04,537 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-18 22:43:04,625 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-18 22:43:04,625 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-18 22:43:04,641 ] 27 root - INFO - Initiate the data Validation
[ 2025-08-18 22:43:04,684 ] 32 root - INFO - Required number of columns:2
[ 2025-08-18 22:43:04,686 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-18 22:43:04,686 ] 32 root - INFO - Required number of columns:2
[ 2025-08-18 22:43:04,686 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-18 22:43:04,891 ] 29 root - INFO - data Validation Completed
