[ 2025-08-18 22:46:40,864 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-18 22:46:47,859 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-18 22:46:47,859 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-18 22:46:47,859 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-18 22:46:47,941 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-18 22:46:47,941 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-18 22:46:47,955 ] 27 root - INFO - Initiate the data Validation
[ 2025-08-18 22:46:47,997 ] 32 root - INFO - Required number of columns:2
[ 2025-08-18 22:46:48,013 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-18 22:46:48,013 ] 32 root - INFO - Required number of columns:2
[ 2025-08-18 22:46:48,013 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-18 22:46:48,232 ] 29 root - INFO - data Validation Completed
