[ 2025-08-26 00:32:14,017 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-26 00:32:31,011 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-26 00:32:31,011 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-26 00:32:31,011 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-26 00:32:31,084 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-26 00:32:31,084 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-26 00:32:31,099 ] 27 root - INFO - Initiate the data Validation
[ 2025-08-26 00:32:31,157 ] 32 root - INFO - Required number of columns:2
[ 2025-08-26 00:32:31,175 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-26 00:32:31,175 ] 32 root - INFO - Required number of columns:2
[ 2025-08-26 00:32:31,175 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-26 00:32:31,396 ] 29 root - INFO - data Validation Completed
[ 2025-08-26 00:32:31,396 ] 33 root - INFO - data Transformation started
[ 2025-08-26 00:32:31,396 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-26 00:32:31,396 ] 65 root - INFO - Starting data transformation
[ 2025-08-26 00:32:31,461 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-26 00:32:31,461 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-26 00:32:31,483 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-26 00:32:31,490 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-26 00:32:31,490 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-26 00:32:31,494 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-26 00:32:31,496 ] 37 root - INFO - data Transformation completed
[ 2025-08-26 00:32:31,496 ] 39 root - INFO - Model Training sstared
