[ 2025-08-18 22:40:41,353 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-18 22:40:51,685 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-18 22:40:51,687 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-18 22:40:51,687 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-18 22:40:51,752 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-18 22:40:51,752 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-18 22:40:51,752 ] 27 root - INFO - Initiate the data Validation
[ 2025-08-18 22:40:51,800 ] 32 root - INFO - Required number of columns:2
[ 2025-08-18 22:40:51,816 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-18 22:40:51,816 ] 32 root - INFO - Required number of columns:2
[ 2025-08-18 22:40:51,816 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-18 22:40:52,014 ] 29 root - INFO - data Validation Completed
